Date,Week,Year,Fuel,State,Region,Geography_Type,Price_CPL,Source_Name,Page_URL
2026-01-25,25 Jan,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,184.2,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-02-01,1 Feb,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,183.6,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-02-08,8 Feb,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,182.9,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-02-15,15 Feb,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,182.7,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-02-22,22 Feb,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,182.6,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-03-01,1 Mar,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,183.1,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-03-08,8 Mar,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,200.2,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-03-15,15 Mar,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,248.5,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-03-22,22 Mar,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,284.8,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-03-29,29 Mar,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,312.8,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-04-05,5 Apr,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,316.2,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-04-12,12 Apr,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,320.6,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-04-19,19 Apr,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,310.5,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-04-26,26 Apr,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,276.0,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-05-03,3 May,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,254.0,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-05-10,10 May,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,247.0,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-05-17,17 May,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,236.4,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-05-24,24 May,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,230.8,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-05-31,31 May,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,225.1,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-06-07,7 Jun,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,213.0,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
2026-06-14,14 Jun,2026,Diesel,NSW/ACT,NSW Regional Average,State Regional Average,206.2,NSW Regional Average,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/nsw-regional-average/
